Date,Symbol,Type,Shares,Price,Note
2026-09-21,BNL,BUY,8500,6.63,new position
2026-09-21,GTYR,BUY,5500,34.45,new position
2026-09-21,HUBC,BUY,250,213.07,new position
2026-09-21,LUCK,BUY,1300,447.06,new position
2026-09-21,SPSL,BUY,18900,18.29,new position
2026-09-21,SYS,BUY,500,123.72,new position
2026-09-21,BNL,BUY,500,6.63,added shares
2026-09-24,GTYR,BUY,51000,33.19,added shares
2026-09-24,LUCK,BUY,475,428.9,added shares
2026-09-24,PIAHCLA,BUY,3500,25.32,new position
2026-09-24,PSO,BUY,748,356.72,new position
2026-09-24,HUBC,SELL,250,213.07,position closed
2026-09-24,SPSL,SELL,18900,18.29,position closed
2026-09-24,SYS,SELL,500,123.72,position closed
2026-09-25,EFERT,BUY,100,193.94,new position
2026-09-25,FABL,BUY,500,94.18,new position
2026-09-25,FFC,BUY,100,542.44,new position
2026-09-25,GTYR,SELL,50000,33.19,reduced shares
2026-09-25,LUCK,SELL,600,428.9,reduced shares
2026-09-25,MARI,BUY,100,643.9,new position
2026-09-25,NETSOL,BUY,500,123.0,new position
2026-09-25,Searl,BUY,500,83.45,new position
2026-09-25,PIAHCLA,SELL,3500,25.32,position closed
