Date,Symbol,Signal,TradeStyle,Close,RSI,Confidence,MasterScore,StopLoss,Target1,BuyZone
2026-09-22,SPSL,STRONG BUY,LONG,17.03,60.0,100,80.5,15.85,18.8,BUY 16.44 – 17.32
2026-09-22,NETSOL,STRONG BUY,LONG,126.02,49.18,100,78.5,117.12,139.37,BUY 121.57 – 128.25
2026-09-22,CPHL,STRONG BUY,SWING,75.38,50.8,100,76.5,70.85,82.18,BUY 73.11 – 76.51
2026-09-22,ASL,BUY,SWING,17.03,69.53,60,74.25,14.64,20.61,BUY 15.84 – 17.63
2026-09-22,ENGRO,BUY,SWING,485.38,65.5,60,72.5,442.67,549.44,BUY 464.03 – 496.06
2026-09-22,MUREB,STRONG BUY,SWING,934.69,49.35,100,71.2,862.95,1042.3,BUY 898.82 – 952.62
2026-09-22,NCL,BUY,SWING,39.52,68.92,80,67.5,37.4,42.7,BUY 38.46 – 40.05
2026-09-22,AKBL,BUY,SWING,107.7,52.9,60,66.95,100.94,117.84,BUY 104.32 – 109.39
2026-09-22,SITC,STRONG BUY,SWING,758.71,51.02,100,65.5,713.77,826.12,BUY 736.24 – 769.94
2026-09-22,NRL,BUY,SWING,518.61,41.97,40,52.2,459.98,606.56,BUY 489.29 – 533.27
2026-09-22,EFERT,BUY,SWING,188.22,61.39,40,45.95,180.27,200.15,BUY 184.24 – 190.21
2026-09-22,MTL,BUY,SWING,300.49,48.53,40,45.95,286.06,322.14,BUY 293.27 – 304.1
2026-09-22,ADMM,BUY,SWING,56.08,56.2,40,45.95,47.57,68.85,BUY 51.82 – 58.21
2026-09-22,PPL,BUY,SWING,228.8,43.58,60,45.7,215.68,248.47,BUY 222.24 – 232.08
2026-09-22,EPCL,BUY,SWING,34.21,39.32,40,44.25,31.96,37.58,BUY 33.09 – 34.77
2026-09-22,BAFL,BUY,SWING,57.15,42.2,40,42.2,54.84,60.62,BUY 55.99 – 57.73
2026-09-22,ISL,BUY,SWING,81.99,28.75,40,21.95,76.19,90.7,BUY 79.09 – 83.44
2026-09-22,SCBPL,BUY,SWING,60.75,22.55,40,21.75,54.84,69.62,BUY 57.79 – 62.23
2026-09-22,MCB,BUY,SWING,397.36,42.34,40,21.75,384.2,417.1,BUY 390.78 – 400.65
2026-09-22,GATM,BUY,SWING,22.87,39.28,40,21.7,21.09,25.53,BUY 21.98 – 23.31
2026-09-22,NPL,BUY,SWING,64.37,37.21,40,21.7,59.34,71.92,BUY 61.85 – 65.63
2026-09-22,MEBL,BUY,SWING,552.75,36.22,40,20.5,524.9,594.53,BUY 538.82 – 559.71
